,"PowerNet Global Rate Notification:
This file contains your official rates and effective dates by destination.",,,
,,,,
Destination Name,Destination Code,Rate,Status,Eff Date
AFGHANISTAN - HERAT,9340,$0.1525 ,DECREASE,11/29/2017
AFGHANISTAN - JALALABAD,9360,$0.1525 ,DECREASE,11/29/2017
AFGHANISTAN - KABUL,9320,$0.1525 ,DECREASE,11/29/2017
AFGHANISTAN - KANDAHAR,9330,$0.1525 ,DECREASE,11/29/2017
AFGHANISTAN - MAZAR-E-SHARIF,9350,$0.1525 ,DECREASE,11/29/2017
AFGHANISTAN - MOBILE - AWCC,9370,$0.0949 ,CURRENT,09/13/2017
AFGHANISTAN - MOBILE - CDMA,9375,$0.1680 ,CURRENT,06/28/2017
AFGHANISTAN - MOBILE - MTN,9377,$0.1300 ,CURRENT,03/01/2017
AFGHANISTAN - MOBILE - OTHER CARRIERS,9378,$0.0985 ,CURRENT,09/13/2017
AFGHANISTAN - MOBILE - ROSHAN,9372,$0.1035 ,CURRENT,09/20/2017
AFGHANISTAN - MOBILE - ROSHAN,9379,$0.1035 ,CURRENT,09/20/2017
AFGHANISTAN - PROPER,93,$0.1525 ,DECREASE,11/29/2017
ALBANIA - MOBILE - AMC,35568,$0.2027 ,CURRENT,11/22/2017
ALBANIA - MOBILE - EAGLE,35567,$0.3324 ,CURRENT,11/22/2017
ALBANIA - MOBILE - PLUS,35566,$0.3231 ,CURRENT,11/22/2017
ALBANIA - MOBILE - VODAFONE,35569,$0.2178 ,CURRENT,11/22/2017
ALBANIA - PREMIUM SERVICES,35551181,$0.1382 ,CURRENT,11/22/2017
ALBANIA - PROPER,355,$0.1379 ,CURRENT,11/15/2017
ALBANIA - TIRANE,355422,$0.1314 ,CURRENT,11/08/2017
ALBANIA - TIRANE,355423,$0.1314 ,CURRENT,11/08/2017
ALBANIA - TIRANE,355424,$0.1314 ,CURRENT,11/08/2017
ALGERIA - ALGIERS,21321,$0.0545 ,CURRENT,11/22/2017
ALGERIA - CAT,2131,$0.0512 ,CURRENT,11/22/2017
ALGERIA - MOBILE - MOBILIS,21366,$0.3579 ,CURRENT,11/22/2017
ALGERIA - MOBILE - MOBILIS,21369,$0.3579 ,CURRENT,11/22/2017
ALGERIA - MOBILE - MOBILIS,213659,$0.3579 ,CURRENT,11/22/2017
ALGERIA - MOBILE - MOBILIS,213670,$0.3579 ,CURRENT,11/22/2017
ALGERIA - MOBILE - ORASCOM,21377,$0.2596 ,DECREASE,11/29/2017
ALGERIA - MOBILE - ORASCOM,21379,$0.2596 ,DECREASE,11/29/2017
ALGERIA - MOBILE - ORASCOM,213780,$0.2596 ,DECREASE,11/29/2017
ALGERIA - MOBILE - ORASCOM,213781,$0.2596 ,DECREASE,11/29/2017
ALGERIA - MOBILE - WATANIYA,21355,$0.4648 ,CURRENT,11/08/2017
ALGERIA - MOBILE - WATANIYA,21356,$0.4648 ,CURRENT,11/08/2017
ALGERIA - PROPER,213,$0.0549 ,CURRENT,10/04/2017
AMERICAN SAMOA - MOBILE,16842,$0.0209 ,CURRENT,08/09/2017
AMERICAN SAMOA - PROPER,1684,$0.0209 ,CURRENT,08/09/2017
ANDORRA - MOBILE,3763,$0.1132 ,CURRENT,10/25/2017
ANDORRA - MOBILE,3764,$0.1132 ,CURRENT,10/25/2017
ANDORRA - MOBILE,3766,$0.1132 ,CURRENT,10/25/2017
ANDORRA - PROPER,376,$0.0287 ,CURRENT,10/04/2017
ANGOLA - MOBILE - OTHER CARRIERS,24490,$0.0337 ,INCREASE,11/29/2017
ANGOLA - MOBILE - OTHER CARRIERS,24491,$0.0337 ,INCREASE,11/29/2017
ANGOLA - MOBILE - OTHER CARRIERS,24495,$0.0337 ,INCREASE,11/29/2017
ANGOLA - MOBILE - OTHER CARRIERS,24496,$0.0337 ,INCREASE,11/29/2017
ANGOLA - MOBILE - OTHER CARRIERS,24497,$0.0337 ,INCREASE,11/29/2017
ANGOLA - MOBILE - OTHER CARRIERS,24498,$0.0337 ,INCREASE,11/29/2017
ANGOLA - MOBILE - OTHER CARRIERS,24499,$0.0337 ,INCREASE,11/29/2017
ANGOLA - MOBILE - UNITEL,24492,$0.1015 ,CURRENT,11/01/2017
ANGOLA - MOBILE - UNITEL,24493,$0.1015 ,CURRENT,11/01/2017
ANGOLA - MOBILE - UNITEL,24494,$0.1015 ,CURRENT,11/01/2017
ANGOLA - PROPER,244,$0.0319 ,CURRENT,11/22/2017
